cbo_2002,descricao,familia,descricao_familia,subgrupo,descricao_subgrupo,subgrupo_principal,descricao_subgrupo_principal,grande_grupo,descricao_grande_grupo,indicador_cbo_2002_ativa
123605,Diretor De Tecnologia Da Informação,1236,Diretores de tecnologia da informação,123,Diretores De Áreas De Apoio,12,Dirigentes De Empresas E Organizações (Exceto De Interesse Público),1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
131215,Tecnólogo Em Gestão Hospitalar,1312,"Gestores e especialistas de operações em empresas, secretarias e unidades de serviços de saúde",131,"Diretores E Gerentes Em Empresa De Serviços De Saúde, De Educação, Ou De Serviços Culturais, Sociais Ou Pessoais                  ",13,"Diretores E Gerentes Em Empresa De Serviços De Saúde, Da Educação, Ou De Serviços Culturais, Sociais Ou Pessoais                  ",1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
142120,Tecnólogo Em Gestão Administrativo- Financeira,1421,"Gerentes administrativos, financeiros, de riscos e afins",142,Gerentes De Áreas De Apoio,14,Gerentes,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
142130,Analista De Riscos,1421,"Gerentes administrativos, financeiros, de riscos e afins",142,Gerentes De Áreas De Apoio,14,Gerentes,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
142135,Oficial De Proteção De Dados Pessoais (Dpo),1421,"Gerentes administrativos, financeiros, de riscos e afins",142,Gerentes De Áreas De Apoio,14,Gerentes,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
142330,Analista De Negócios,1423,"Gerentes de comercialização, marketing e comunicação",142,Gerentes De Áreas De Apoio,14,Gerentes,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
142335,Analista De Pesquisa De Mercado,1423,"Gerentes de comercialização, marketing e comunicação",142,Gerentes De Áreas De Apoio,14,Gerentes,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
142355,Analista De E-Commerce,1423,"Gerentes de comercialização, marketing e comunicação",142,Gerentes De Áreas De Apoio,14,Gerentes,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
142505,Gerente De Infraestrutura De Tecnologia Da Informação,1425,Gerentes de tecnologia da informação,142,Gerentes De Áreas De Apoio,14,Gerentes,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
142510,Gerente De Desenvolvimento De Sistemas,1425,Gerentes de tecnologia da informação,142,Gerentes De Áreas De Apoio,14,Gerentes,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
142515,Gerente De Operação De Tecnologia Da Informação,1425,Gerentes de tecnologia da informação,142,Gerentes De Áreas De Apoio,14,Gerentes,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
142520,Gerente De Projetos De Tecnologia Da Informação,1425,Gerentes de tecnologia da informação,142,Gerentes De Áreas De Apoio,14,Gerentes,1,"Membros Superiores Do Poder Público, Dirigentes De Organizações De Interesse Público E De Empresas, Gerentes                      ",1
