ano,sigla_uf,cnae_2,sexo,idade,raca_cor,grau_instrucao_apos_2005,tipo_vinculo,tempo_emprego,mes_admissao,mes_desligamento,vinculo_ativo_3112,valor_remuneracao_media,valor_salario_contratual,subsetor_ibge,tamanho_estabelecimento,natureza_juridica,vinculo_ativo_3112_valor,sexo_valor,raca_cor_valor,tamanho_estabelecimento_valor,grau_instrucao_apos_2005_valor,natureza_juridica_valor,nome,descricao,familia,descricao_familia,subgrupo,descricao_subgrupo,subsetor_ibge_valor,faixa_salarial,subsetor_ibge_valor
2022,DF,62040,1,58,2,9,80,79.2,,,1,1040377.32,,19,9,2011.0,sim,masculino,branca,De 500 a 999,SUP. COMP,Empresa Pública,Brasília,Administrador De Sistemas Operacionais,2123,Administradores de tecnologia da informação,212,Profissionais Da Informática,"Com. e administraçao de imóveis, valores mobiliários, serv. Técnico","Mais de 20,00 salários mínimos","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico"
2022,DF,62040,1,58,2,9,80,79.2,,,1,1040377.32,,19,9,2011.0,sim,masculino,branca,De 500 a 999,SUP. COMP,Empresa Pública,Brasília,Administrador De Sistemas Operacionais,2123,Administradores de tecnologia da informação,212,Profissionais Da Informática,"Com. e administraçao de imóveis, valores mobiliários, serv. Técnico","Mais de 20,00 salários mínimos","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico"
2022,DF,62040,1,58,2,9,80,79.2,,,1,1040377.32,,19,9,2011.0,sim,masculino,branca,De 500 a 999,SUP. COMP,Empresa Pública,Brasília,Administrador De Sistemas Operacionais,2123,Administradores de tecnologia da informação,212,Profissionais Da Informática,"Com. e administraçao de imóveis, valores mobiliários, serv. Técnico","Mais de 20,00 salários mínimos","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico"
2022,DF,62040,1,58,2,9,80,79.2,,,1,1040377.32,,19,9,2011.0,sim,masculino,branca,De 500 a 999,SUP. COMP,Empresa Pública,Brasília,Administrador De Sistemas Operacionais,2123,Administradores de tecnologia da informação,212,Profissionais Da Informática,"Com. e administraçao de imóveis, valores mobiliários, serv. Técnico","Mais de 20,00 salários mínimos","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico"
2022,SP,63119,1,58,2,9,10,7.9,5.0,,1,665130.43,,19,4,2062.0,sim,masculino,branca,De 10 a 19,SUP. COMP,Sociedade Empresária Limitada,Barueri,Engenheiros De Sistemas Operacionais Em Computação,2122,Engenheiros em computação,212,Profissionais Da Informática,"Com. e administraçao de imóveis, valores mobiliários, serv. Técnico","Mais de 20,00 salários mínimos","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico"
2022,SP,63119,1,58,2,9,10,7.9,5.0,,1,665130.43,,19,4,2062.0,sim,masculino,branca,De 10 a 19,SUP. COMP,Sociedade Empresária Limitada,Barueri,Engenheiros De Sistemas Operacionais Em Computação,2122,Engenheiros em computação,212,Profissionais Da Informática,"Com. e administraçao de imóveis, valores mobiliários, serv. Técnico","Mais de 20,00 salários mínimos","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico"
2022,SP,63119,1,58,2,9,10,7.9,5.0,,1,665130.43,,19,4,2062.0,sim,masculino,branca,De 10 a 19,SUP. COMP,Sociedade Empresária Limitada,Barueri,Engenheiros De Sistemas Operacionais Em Computação,2122,Engenheiros em computação,212,Profissionais Da Informática,"Com. e administraçao de imóveis, valores mobiliários, serv. Técnico","Mais de 20,00 salários mínimos","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico"
2022,SP,63119,1,58,2,9,10,7.9,5.0,,1,665130.43,,19,4,2062.0,sim,masculino,branca,De 10 a 19,SUP. COMP,Sociedade Empresária Limitada,Barueri,Engenheiros De Sistemas Operacionais Em Computação,2122,Engenheiros em computação,212,Profissionais Da Informática,"Com. e administraçao de imóveis, valores mobiliários, serv. Técnico","Mais de 20,00 salários mínimos","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico"
2022,SP,47130,1,43,8,9,10,32.8,,11.0,0,493484.79,,16,9,2062.0,não,masculino,parda,De 500 a 999,SUP. COMP,Sociedade Empresária Limitada,Cajamar,Engenheiros De Sistemas Operacionais Em Computação,2122,Engenheiros em computação,212,Profissionais Da Informática,Comércio varejista,"Mais de 20,00 salários mínimos",Comércio varejista
2022,SP,47130,1,43,8,9,10,32.8,,11.0,0,493484.79,,16,9,2062.0,não,masculino,parda,De 500 a 999,SUP. COMP,Sociedade Empresária Limitada,Cajamar,Engenheiros De Sistemas Operacionais Em Computação,2122,Engenheiros em computação,212,Profissionais Da Informática,Comércio varejista,"Mais de 20,00 salários mínimos",Comércio varejista
